Callsign,Authorization effective date,Authorization expiry date,Emission Designator(s),Authorized Power,Station Location,Station Coordinates,Frequency,Notes
WA9XKV,December 16 2025,June 16 2026,20M0Q1N,8500 W (ERP),"(1) Telegraphi city, CA; (2) Black Rock Desert, NV; (3) Anderson, CA; (4) Little Quien Sabe, CA","(1) NL 37-56-57; WL 120-47-44; (2) NL 40-50-41; WL 119-10-43; (3) NL 37-12-39; WL 121-38-59; (4) NL 36-48-45; WL 121-11-00",3300-3500 MHz,Airborne operations prohibited in 3.45-3.5 GHz band.
WA9XTB,February 19 2026,July 31 2026,"8M00D1D, 125KG1D","2 W, 4 W, 36.85 W, 39.85 W (ERP)","(1-7) Black Rock Desert, NV; (8-9) MOBILE: Black Rock Desert, NV (within 70 km)","(1-9) NL 40-50-41; WL 119-10-43","480-490 MHz, 670-690 MHz, 1710-1720 MHz, 1850-1860 MHz, 1930-1940 MHz, 2110-2120 MHz, 3720-3740 MHz",Airborne prohibited in 3700-4000 MHz. Notify 600 MHz and AWS licensees.
WA9XTD,February 20 2026,March 01 2026,"8M00D1D, 125KG1D, 6M00F3F","1 W, 1.1 W, 2 W, 4 W, 10 W, 31 W (ERP)","(1-2) Oahu, HI; (3-5) MOBILE: Oahu, HI (within 10 km)","(1-5) NL 21-29-28; WL 158-06-18","480-490 MHz, 1710-1720 MHz, 1850-1860 MHz, 1930-1940 MHz, 2110-2120 MHz, 3720-3730 MHz, 5850-5925 MHz",Testing radar systems. Prior consent required for ITS frequencies (5895-5925 MHz).
WA9XTE,February 20 2026,March 01 2026,500KF1D,"1.4 W, 13 W (ERP)","(1) Oahu, HI; (2) MOBILE: Oahu, HI (within 10 km)","(1-2) NL 21-29-28; WL 158-06-18",902-928 MHz,"Capability demonstration. Prior consent from LMS licensees (902-928 MHz) required."
WA9XTI,February 20 2026,March 01 2026,5M00D1D,1 W (ERP),"(1) Oahu, HI","(1) NL 21-29-28; WL 158-06-18",1997.5-2657.5 MHz (various sub-bands),"Airborne transmissions prohibited 2297.5-2302.5 MHz. Coordinate with NASA for Kaena Point/Kapolei."
